모델명,장비수,날짜,요일,시작 시간,종료 시간,시험원,시험 방법,시험 결과,av #0,av #1,av #2,av #3,av #4,av #5,av #6,av #7,av #8,av #9,av #10,av #11,lpc #0,lpc #1,lpc #2,lpc #3,lpc #4,lpc #5,lpc #6,lpc #7,lpc #8,lpc #9,lpc #10,lpc #11,lpc #12,lpc #13,센서,펌프 1,펌프 2,스터러,SD 카드,RTC,EEPROM,시리얼 1,시리얼 2,시리얼 3,시리얼 4
Sigma-1000,61,2021년 05월 21일,금,10:08:05,10:08:05,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
Sigma-1000,62,2021년 05월 21일,금,10:09:39,10:09:39,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
Sigma-1000,63,2021년 05월 21일,금,10:11:15,10:11:15,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
Sigma-1000,64,2021년 05월 21일,금,10:12:52,10:12:52,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
Sigma-1000,65,2021년 05월 21일,금,10:14:32,10:14:32,홍길동,자동,NG,O,O,O,O,O,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
Sigma-1000,66,2021년 05월 21일,금,10:16:09,10:16:09,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
Sigma-1000,67,2021년 05월 21일,금,10:17:48,10:17:48,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
Sigma-1000,68,2021년 05월 21일,금,10:19:27,10:19:27,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
Sigma-1000,69,2021년 05월 21일,금,10:21:05,10:21:05,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
Sigma-1000,70,2021년 05월 21일,금,10:22:47,10:22:47,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
Sigma-1000,71,2021년 05월 21일,금,10:24:25,10:24:25,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
Sigma-1000,72,2021년 05월 21일,금,10:26:06,10:26:06,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
