모델명,장비수,날짜,요일,시작 시간,종료 시간,시험원,시험 방법,시험 결과,av #0,av #1,av #2,av #3,av #4,av #5,av #6,av #7,av #8,av #9,av #10,av #11,lpc #0,lpc #1,lpc #2,lpc #3,lpc #4,lpc #5,lpc #6,lpc #7,lpc #8,lpc #9,lpc #10,lpc #11,lpc #12,lpc #13,센서,펌프 1,펌프 2,스터러,SD 카드,RTC,EEPROM,시리얼 1,시리얼 2,시리얼 3,시리얼 4
Sigma-1000,54,2021년 05월 24일,월,12:47:03,12:48:38,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,55,2021년 05월 24일,월,12:48:38,12:50:12,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,56,2021년 05월 24일,월,12:50:12,12:51:47,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,57,2021년 05월 24일,월,12:51:47,12:53:22,홍길동,자동,NG,O,O,X,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,58,2021년 05월 24일,월,12:53:22,12:54:57,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,59,2021년 05월 24일,월,12:54:57,12:56:32,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,60,2021년 05월 24일,월,12:56:32,12:58:06,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,61,2021년 05월 24일,월,12:58:06,12:59:42,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,62,2021년 05월 24일,월,12:59:42,13:01:16,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,63,2021년 05월 24일,월,13:01:16,13:02:51,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,64,2021년 05월 24일,월,13:02:51,13:04:26,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,65,2021년 05월 24일,월,13:04:26,13:06:00,홍길동,자동,NG,O,O,O,O,O,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,66,2021년 05월 24일,월,13:06:00,13:07:35,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,67,2021년 05월 24일,월,13:07:35,13:09:10,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,68,2021년 05월 24일,월,13:09:10,13:10:44,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,69,2021년 05월 24일,월,13:10:44,13:12:19,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,70,2021년 05월 24일,월,13:12:19,13:13:54,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,71,2021년 05월 24일,월,13:13:54,13:15:28,홍길동,자동,NG,O,X,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,O,O,O,O,O,O
Sigma-1000,72,2021년 05월 24일,월,13:15:28,13:17:03,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,73,2021년 05월 24일,월,13:17:03,13:18:38,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,74,2021년 05월 24일,월,13:18:38,13:20:13,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,75,2021년 05월 24일,월,13:20:13,13:21:47,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,76,2021년 05월 24일,월,13:21:47,13:23:22,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,77,2021년 05월 24일,월,13:23:22,13:24:57,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,78,2021년 05월 24일,월,13:24:57,13:26:31,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,79,2021년 05월 24일,월,13:26:31,13:28:06,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,80,2021년 05월 24일,월,13:28:06,13:29:41,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,81,2021년 05월 24일,월,13:29:41,13:31:15,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,82,2021년 05월 24일,월,13:31:15,13:32:50,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,83,2021년 05월 24일,월,13:32:50,13:34:25,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,84,2021년 05월 24일,월,13:34:25,13:35:59,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,85,2021년 05월 24일,월,13:35:59,13:37:34,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,86,2021년 05월 24일,월,13:37:34,13:42:26,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,87,2021년 05월 24일,월,13:42:26,13:44:01,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,88,2021년 05월 24일,월,13:44:01,13:45:36,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,89,2021년 05월 24일,월,13:45:36,13:47:10,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,90,2021년 05월 24일,월,13:47:10,13:48:46,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,91,2021년 05월 24일,월,13:48:46,13:50:22,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
Sigma-1000,92,2021년 05월 24일,월,13:50:22,13:51:57,홍길동,자동,NG,O,O,O,O,O,O,O,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,O,X,X,O,O,O,O,O,O
